ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma20,ma60,rsi14,macd_dif,macd_dea,macd_hist
688981.SH,2025-10-13,126.0,136.48,126.0,136.47,127.95,8.52,6.6589,1402994.86,18642587.057,135.89600000000002,122.89750000000001,101.80033333333333,73.1634182908546,9.676908954051655,9.412850425555096,0.5281170569931177
688981.SH,2025-10-14,136.96,137.8,125.8,127.2,136.47,-9.27,-6.7927,1321004.03,17321652.001,134.132,123.5195,102.49033333333334,62.77500733352891,8.721915977086311,9.27466353586134,-1.1054951175500562
688981.SH,2025-10-15,127.18,129.73,124.6,129.56,127.2,2.36,1.8553,807987.26,10284318.328,132.01799999999997,124.848,103.225,59.669474018751,8.062569160636713,9.032244660816415,-1.9393510003594052
688981.SH,2025-10-16,127.8,130.28,126.6,127.3,129.56,-2.26,-1.7444,612310.62,7841134.057,129.696,126.0175,103.90100000000001,54.2611285785206,7.273820866715937,8.68055990199632,-2.813478070560766
688981.SH,2025-10-17,126.85,127.32,120.87,121.98,127.3,-5.32,-4.1791,820528.98,10097285.54,128.502,126.6025,104.50316666666666,50.492762550046194,6.148575669294075,8.174163055455871,-4.051174772323591
688981.SH,2025-10-20,124.1,125.18,121.69,122.63,121.98,0.65,0.5329,571239.35,7060333.63,125.734,127.31300000000002,105.11916666666666,44.57852094466472,5.248755920096954,7.589081628384088,-4.680651416574268
688981.SH,2025-10-21,123.8,127.85,122.61,127.19,122.63,4.56,3.7185,784150.88,9888217.346,125.732,128.2395,105.76966666666667,48.93822393822394,4.847714738588124,7.040808250424895,-4.386187023673543
688981.SH,2025-10-22,125.42,129.27,123.81,126.81,127.19,-0.38,-0.2988,653954.11,8265031.817,125.18199999999999,129.091,106.4245,42.714464062778674,4.447950681980487,6.522236736736014,-4.148572109511054
688981.SH,2025-10-23,125.18,128.5,124.01,128.3,126.81,1.49,1.175,634264.02,8038110.025,125.38199999999999,129.6365,107.098,44.875639442582454,4.202916726724027,6.0583727347336165,-3.7109120160191793
688981.SH,2025-10-24,130.3,134.8,128.9,134.06,128.3,5.76,4.4895,1024466.21,13548726.657,127.798,130.232,107.88033333333334,51.476654017488855,4.4225292492242545,5.731204037631745,-2.6173495768149806
688981.SH,2025-10-27,137.5,137.5,132.3,134.5,134.06,0.44,0.3282,1012643.04,13623206.912,130.172,130.89,108.64216666666668,48.67364746945898,4.579290863727564,5.500821402850909,-1.8430610782466896
688981.SH,2025-10-28,133.0,135.8,132.0,132.69,134.5,-1.81,-1.3457,695189.45,9299045.972,131.272,131.07850000000002,109.3785,43.236363636363635,4.505536677213328,5.301764457723394,-1.592455561020131
688981.SH,2025-10-29,132.0,134.53,130.31,133.0,132.69,0.31,0.2336,688460.74,9111437.51,132.51,131.303,110.11149999999999,44.53688297282307,4.421136255560114,5.125638817290738,-1.409005123461247
688981.SH,2025-10-30,133.0,133.0,128.51,128.55,133.0,-4.45,-3.3459,692863.97,9018982.748,132.56,130.9815,110.76933333333334,50.63051702395966,3.94964149494227,4.890439352821044,-1.8815957157575482
688981.SH,2025-10-31,128.03,128.7,124.18,124.18,128.55,-4.37,-3.3995,691668.89,8692098.673,130.584,130.48499999999999,111.34916666666668,35.85079438176376,3.1866226198719403,4.549676006231223,-2.726106772718566
688981.SH,2025-11-03,122.0,122.6,117.55,120.21,124.18,-3.97,-3.197,747709.27,8940382.093,127.726,129.882,111.82350000000001,40.83398898505112,2.235805864533404,4.086901977891659,-3.7021922267165106
688981.SH,2025-11-04,121.0,122.66,119.0,119.88,120.21,-0.33,-0.2745,477384.17,5770504.489,125.16400000000002,129.075,112.26366666666667,36.592797783933506,1.43905990676636,3.5573335636665995,-4.236547313800479
688981.SH,2025-11-05,116.9,121.1,116.5,119.78,119.88,-0.1,-0.0834,485016.0,5753269.424,122.52000000000001,128.05749999999998,112.72366666666667,38.921626399528584,0.790451992199408,3.0039572493731614,-4.427010514347507
688981.SH,2025-11-06,121.9,125.99,121.05,124.85,119.78,5.07,4.2328,731507.65,9060521.121,121.78,127.3545,113.26833333333333,54.25942416147223,0.6777198426988065,2.5387097680382906,-3.7219798506789683
688981.SH,2025-11-07,122.93,124.18,122.05,122.11,124.85,-2.74,-2.1946,382292.14,4694221.497,121.36600000000001,127.0625,113.7975,49.273337059809954,0.3630981319197275,2.1035874408145783,-3.4809786177897015
688981.SH,2025-11-10,122.13,122.95,118.76,120.01,122.11,-2.1,-1.7198,395832.71,4749065.264,121.326,126.23949999999999,114.306,39.22569027611045,-0.05505959740199273,1.6718580331712642,-3.453835261146514
688981.SH,2025-11-11,120.6,121.47,117.53,117.73,120.01,-2.28,-1.8998,342530.08,4073862.296,120.896,125.766,114.79666666666667,37.10959681998864,-0.5639289340796836,1.2247006397210747,-3.5772591476015165
688981.SH,2025-11-12,117.0,119.8,115.74,119.63,117.73,1.9,1.6139,457015.52,5405408.039,120.86600000000001,125.26950000000002,115.28933333333335,37.833286556272775,-0.8046222441937658,0.8188360629381066,-3.246916614263745
688981.SH,2025-11-13,118.99,123.33,117.8,123.1,119.63,3.47,2.9006,549888.53,6638319.087,120.51599999999999,125.0595,115.841,33.56328734253147,-0.7072210228393487,0.5136246457826156,-2.4416913372439284
