date,type,signal_price,execution_price,shares,commission,slippage,total_cost,cash_after,position_after
2025-01-17,BUY,8.83,8.83883,11302,99.89645666,99.79665999999628,199.6931166599963,3.6468833399994764,11302
2025-04-08,SELL,7.7,7.6923,11302,86.93837460000002,87.02539999999794,173.96377459999798,86855.08310874001,0
2025-07-14,BUY,8.88,8.88888,9761,86.76435768,86.67767999999566,173.44203767999568,3.961071060009999,9761
