date,type,signal_price,execution_price,shares,commission,slippage,total_cost,cash_after,position_after
2025-01-20,BUY,265.52,265.78551999999996,375,99.66957,99.56999999999283,199.23956999999282,230.76043000000936,375
2025-05-29,SELL,251.85,251.59815,375,94.34930625000001,94.44374999999638,188.7930562499964,94485.71737375001,0
2025-08-15,BUY,280.67,280.95067,335,94.11847445,94.02444999999545,188.14292444999546,273.1244493000122,335
2026-02-27,SELL,342.01,341.66799,335,114.45877664999999,114.5733500000054,229.0321266500054,114617.44232265,0
2026-04-14,BUY,430.79,431.22078999999997,265,114.27350935,114.15934999998541,228.4328593499854,229.65946330000588,265
