date,type,signal_price,execution_price,shares,commission,slippage,total_cost,cash_after,position_after
2025-08-18,BUY,59.34,59.399339999999995,1681,99.85029053999999,99.7505399999861,199.60083053998608,49.859169460018165,1681
2026-05-15,SELL,55.5,55.4445,1681,93.2022045,93.29550000000353,186.49770450000352,93158.86146496,0
