date,type,signal_price,execution_price,shares,commission,slippage,total_cost,cash_after,position_after
2025-04-16,BUY,1559.17,1560.7291699999998,64,99.88666687999999,99.7868799999851,199.6735468799851,13.446453120006481,64
2025-08-01,SELL,1417.0,1415.583,64,90.597312,90.68799999999464,181.28531199999463,90520.16114112001,0
2026-04-02,BUY,1459.88,1461.33988,61,89.14173268,89.05267999999296,178.19441267999298,1289.2867284400127,61
2026-04-17,SELL,1407.24,1405.83276,61,85.75579836,85.8416400000001,171.5974383600001,86959.32929008002,0
